               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1049,            0.015851,            0.037299,             0.24368,             0.48595,             0.21864,            0.057652,            0.081367,            0.018402,              0.0337,           0.0033252,           0.0033252,            0.070073
                   1,             0.06622,            0.014745,            0.026462,              0.4606,             0.79562,             0.62906,              0.2475,             0.05189,            0.015742,             0.02266,           0.0066256,           0.0066256,             0.04004
                   2,            0.055026,            0.012506,            0.019376,              0.7491,             0.86695,             0.85636,             0.42115,            0.043324,            0.013068,             0.01572,            0.009893,            0.009893,           0.0099743
                   3,            0.047813,            0.010712,            0.013979,             0.86594,             0.87924,             0.91236,             0.50937,            0.038812,            0.010976,             0.01196,           0.0098515,           0.0098515,           0.0098515
                   4,            0.043505,           0.0098359,            0.011763,             0.87108,             0.89384,             0.91892,             0.53645,            0.037634,            0.010848,            0.011363,           0.0098515,           0.0098515,           0.0098515
                   5,              0.0413,           0.0095071,             0.01069,             0.90348,             0.91064,             0.94066,             0.56731,            0.035588,            0.010076,           0.0099838,            0.009802,            0.009802,            0.009802
                   6,            0.039808,           0.0092065,            0.010109,             0.92021,              0.9095,             0.94729,             0.56735,            0.035946,           0.0098834,           0.0096874,           0.0097525,           0.0097525,           0.0097525
                   7,            0.038658,           0.0088548,           0.0097097,             0.89639,             0.90476,             0.94115,             0.57725,            0.034101,           0.0096949,           0.0098223,            0.009703,            0.009703,            0.009703
                   8,            0.037585,           0.0088527,           0.0091471,             0.89335,             0.89968,             0.94806,             0.59162,            0.033375,           0.0096883,           0.0097381,           0.0096535,           0.0096535,           0.0096535
                   9,              0.0371,           0.0087476,           0.0091446,             0.91857,             0.92823,             0.95744,             0.58274,            0.033795,           0.0096756,            0.008412,            0.009604,            0.009604,            0.009604
                  10,            0.036526,           0.0085954,           0.0088903,             0.92762,              0.9175,               0.958,             0.60038,            0.032406,           0.0095613,            0.008745,           0.0095545,           0.0095545,           0.0095545
                  11,            0.035883,           0.0084566,           0.0084029,             0.92502,             0.92434,             0.95714,             0.60791,            0.032787,           0.0094404,            0.007993,            0.009505,            0.009505,            0.009505
